Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Manufacturing,"Maintenance, Installation & Repair","troubleshooting_95,teamwork_33,communication_27,automation_23,maintenance_22,communication skills_22,electrical maintenance_21,plc_21,electronics_20,repair_19"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Manufacturing,"Maintenance, Installation & Repair","customer service_834,valid driver's license_647,communication_537,troubleshooting_476,ability to work at heights_418,communication skills_388,problemsolving_362,teamwork_360,ability to lift heavy objects_357,maintenance_302"
"First-Line Supervisors of Mechanics, Installers, and Repairers",Manufacturing,"Maintenance, Installation & Repair","communication_1362,leadership_1199,customer service_951,maintenance_845,troubleshooting_835,plumbing_792,electrical_757,communication skills_746,maintenance management_684,problem solving_676"
Geothermal Technicians,Manufacturing,"Maintenance, Installation & Repair","sap_9,production lab experience_9,troubleshooting_8,computerized maintenance management system (cmms)_7,communication skills_7,teamwork_7,ability to work in elevated areas_7,forklift operation_7,ability to work in varied conditions_6,data analysis_5"
Home Appliance Repairers,Manufacturing,"Maintenance, Installation & Repair","customer service_838,valid driver's license_650,communication_539,troubleshooting_467,ability to work at heights_417,communication skills_376,problemsolving_361,ability to lift heavy objects_357,teamwork_352,maintenance_299"
Industrial Machinery Mechanics,Manufacturing,"Maintenance, Installation & Repair","customer service_837,valid driver's license_648,communication_569,troubleshooting_552,ability to work at heights_417,communication skills_408,teamwork_387,problemsolving_372,ability to lift heavy objects_360,maintenance_356"
"Installation, Maintenance, and Repair Workers, All Other",Manufacturing,"Maintenance, Installation & Repair","customer service_621,valid driver's license_512,ability to work at heights_364,communication_361,ability to lift heavy objects_314,communication skills_262,teamwork_247,ability to travel_244,problemsolving_230,travel_228"
Locksmiths and Safe Repairers,Manufacturing,"Maintenance, Installation & Repair","locksmith_2,installation_1,maintenance_1,repair_1,locks_1,locking devices_1,panel locks_1,vertical rod locking devices_1,cell block and prison cell locks_1,locker and cabinet locks_1"
"Maintenance and Repair Workers, General",Manufacturing,"Maintenance, Installation & Repair","customer service_923,troubleshooting_742,valid driver's license_673,communication_647,communication skills_469,teamwork_441,problemsolving_432,ability to work at heights_417,maintenance_411,electrical_365"
"Maintenance Workers, Machinery",Manufacturing,"Maintenance, Installation & Repair","customer service_830,valid driver's license_645,communication_531,troubleshooting_445,ability to work at heights_417,communication skills_374,ability to lift heavy objects_357,problemsolving_356,teamwork_350,maintenance_295"
Medical Appliance Technicians,Manufacturing,"Maintenance, Installation & Repair","attention to detail_9,teamwork_9,quality control_8,record keeping_7,troubleshooting_6,communication skills_6,documentation_6,microsoft office_5,laboratory experience_5,data analysis_5"
Medical Equipment Repairers,Manufacturing,"Maintenance, Installation & Repair","installation_1,maintenance_1,troubleshooting_1,audits_1,service_1,packaging machinery_1,mechanical_1,electrical_1,sales_1,training_1"
Outdoor Power Equipment and Other Small Engine Mechanics,Manufacturing,"Maintenance, Installation & Repair","troubleshooting_37,welding_23,maintenance_22,teamwork_20,communication_18,communication skills_16,preventive maintenance_14,mechanic_12,vehicle maintenance_12,attention to detail_11"
"Precision Instrument and Equipment Repairers, All Other",Manufacturing,"Maintenance, Installation & Repair","troubleshooting_5,control valves_3,p&ids_3,dcs control system_2,pressure_2,flow_2,level_2,transmitters_2,plc_2,dcs_2"
"Radio, Cellular, and Tower Equipment Installers and Repairers",Manufacturing,"Maintenance, Installation & Repair","troubleshooting_4,interpersonal skills_4,communication_4,microsoft office suite_4,teamwork_3,avigilon video and access control_3,communication skills_3,installation_3,maintenance_3,ged_3"
Security and Fire Alarm Systems Installers,Manufacturing,"Maintenance, Installation & Repair","customer service_626,valid driver's license_512,ability to work at heights_364,communication_358,ability to lift heavy objects_313,communication skills_255,ability to travel_244,teamwork_242,troubleshooting_233,problemsolving_230"
Watch and Clock Repairers,Manufacturing,"Maintenance, Installation & Repair","troubleshooting_4,oscilloscope_2,repair_2,continuous improvement_2,mechanical aptitude_1,basic electrical knowledge_1,hose assembly and testing_1,welding_1,metal fabrication_1,valid driver's license_1"
Wind Turbine Service Technicians,Manufacturing,"Maintenance, Installation & Repair","customer service_672,valid driver's license_531,communication_393,ability to work at heights_364,troubleshooting_322,ability to lift heavy objects_315,communication skills_283,problemsolving_260,teamwork_260,travel_257"
Aerospace Engineering and Operations Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"troubleshooting_50,teamwork_26,problem solving_24,communication_23,testing_21,communication skills_21,data analysis_21,attention to detail_20,engineering_17,schematics_15"
Automotive Engineering Technicians,Manufacturing,Manufacturing Production Process Development,"teamwork_10,communication_9,troubleshooting_8,attention to detail_8,problem solving_7,documentation_7,record keeping_7,laboratory experience_6,communication skills_6,data analysis_6"
Calibration Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"customer service_905,valid driver's license_671,troubleshooting_640,communication_596,communication skills_429,ability to work at heights_417,teamwork_403,problemsolving_400,ability to lift heavy objects_359,maintenance_339"
Chemical Technicians,Manufacturing,Manufacturing Production Process Development,"teamwork_16,troubleshooting_13,communication_13,quality control_10,data analysis_10,chemistry_10,problem solving_8,production_7,communication skills_7,cgmp_6"
"Drafters, All Other",Manufacturing,Manufacturing Production Process Development,"autocad_36,communication_34,troubleshooting_29,project management_25,teamwork_23,communication skills_23,engineering_20,problem solving_16,revit_16,attention to detail_14"
Electrical and Electronic Engineering Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"troubleshooting_321,communication_118,communication skills_112,teamwork_108,customer service_93,attention to detail_88,repair_84,problem solving_82,maintenance_80,problemsolving_79"
Electrical and Electronics Drafters,Manufacturing,Manufacturing Production Process Development,"autocad_99,electrical design_43,revit_41,communication_35,communication skills_31,microstation_30,electrical engineering_28,project management_28,microsoft office suite_26,attention to detail_25"
Electro-Mechanical and Mechatronics Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"troubleshooting_163,customer service_74,communication_73,teamwork_62,communication skills_55,field service technician_55,repair_52,problemsolving_50,problem solving_50,installation_46"
Industrial Engineering Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"communication_956,customer service_807,teamwork_665,communication skills_635,troubleshooting_588,valid driver's license_542,problem solving_509,problemsolving_480,attention to detail_474,data analysis_389"
Mechanical Drafters,Manufacturing,Manufacturing Production Process Development,"autocad_121,cad_53,drafting_47,communication_44,communication skills_43,project management_43,teamwork_40,solidworks_37,attention to detail_36,3d modeling_34"
Mechanical Engineering Technologists and Technicians,Manufacturing,Manufacturing Production Process Development,"communication_64,project management_57,teamwork_50,attention to detail_50,data analysis_47,autocad_46,problem solving_46,communication skills_45,problemsolving_35,mechanical design_33"
